year,category,location,commute
2007,National,Nevada,23.5
2007,National,New Hampshire,25.3
2007,National,New Jersey,29.8
2007,National,New Mexico,21.5
2007,National,New York,31.5
2007,National,North Carolina,23.3
2007,National,North Dakota,16.1
2007,National,Ohio,22.8
2007,National,Oklahoma,20.6
2007,National,Oregon,22.1
2007,National,Pennsylvania,25.4
2007,National,Puerto Rico,29.9
2007,National,Rhode Island,23
2007,National,South Carolina,23.2
2007,National,South Dakota,16.3
2007,National,Tennessee,23.8
2007,National,Texas,25
2007,National,United States,25.3
2007,National,Utah,21.4
2007,National,Vermont,21.2
2007,National,Virginia,26.8
2007,National,Washington,25.9
2007,National,West Virginia,25.5
2007,National,Wisconsin,21.4
2007,National,Wyoming,18.6
2007,National,Columbia,18.3
2008,National,Alabama,24
2008,National,Alaska,18.4
2008,National,Arizona,25
2008,National,Arkansas,21.3
2008,National,California,27
2008,National,Colorado,24.6
2008,National,Connecticut,25.1
2008,National,Delaware,25
2008,National,District of Columbia,29.5
2008,National,Florida,25.9
2008,National,Georgia,27
2008,National,Hawaii,26.1
2008,National,Idaho,20.2
2008,National,Illinois,28.5
2008,National,Indiana,23.2
2008,National,Iowa,18.5
2008,National,Kansas,19.1
2008,National,Kentucky,22.6
2008,National,Louisiana,25.3
2008,National,Maine,23.3
2008,National,Maryland,31.5
2008,National,Massachusetts,27.3
2008,National,Michigan,24
2008,National,Minnesota,22.6
2008,National,Mississippi,24.1
2008,National,Missouri,23.8
2008,National,Montana,17.9
2008,National,Nebraska,18
2008,National,Nevada,24
2008,National,New Hampshire,26
2008,National,New Jersey,30.1
2008,National,New Mexico,21.9
2008,National,New York,31.6
2008,National,North Carolina,23.4
2008,National,North Dakota,16
2008,National,Ohio,22.9
2008,National,Oklahoma,21.2
2008,National,Oregon,22.5
2008,National,Pennsylvania,25.8
2008,National,Puerto Rico,29.9
2008,National,Rhode Island,23.1
2008,National,South Carolina,23.3
2008,National,South Dakota,16.4
2008,National,Tennessee,24
2008,National,Texas,25.1
2008,National,United States,25.5
2008,National,Utah,21.3
2008,National,Vermont,21.9
2008,National,Virginia,26.9
2008,National,Washington,25.4
2008,National,West Virginia,25.4
2008,National,Wisconsin,21.7
2008,National,Wyoming,18.7
2008,National,Columbia,18.5
2009,National,Alabama,23.6
2009,National,Alaska,17.7
2009,National,Arizona,24.3
2009,National,Arkansas,21.1
2009,National,California,26.6
2009,National,Colorado,24.5
2009,National,Connecticut,24.3
2009,National,Delaware,23.6
2009,National,District of Columbia,29.2
2009,National,Florida,25.4
2009,National,Georgia,26.9
2009,National,Hawaii,25.5
2009,National,Idaho,19.8
2009,National,Illinois,28
2009,National,Indiana,22.9
2009,National,Iowa,18.5
2009,National,Kansas,18.5
2009,National,Kentucky,22.6
2009,National,Louisiana,24.7
2009,National,Maine,22.9
2009,National,Maryland,31.3
2009,National,Massachusetts,27.3
2009,National,Michigan,23.7
2009,National,Minnesota,22.5
2009,National,Mississippi,23.6
